,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps
0,0,0,0,0,0,12
1,0,0,0,0,0,24
2,0,0,0,0,0,36
3,0,0,0,0,0,48
4,2,0,2,0,0,60
5,2,0,2,0,0,72
6,4,2,2,0,0,80
7,5,3,2,0,0,91
8,6,4,2,0,0,100
9,8,5,3,0,0,111
10,8,5,3,0,0,123
11,9,6,3,0,0,133
12,10,7,3,0,0,144
13,11,8,3,0,0,155
14,12,9,3,0,0,165
15,12,9,3,0,0,177
16,13,10,3,0,0,187
17,14,11,3,0,0,198
18,14,11,3,0,0,209
19,14,11,3,0,0,220
20,14,11,3,0,0,232
21,14,11,3,0,0,244
22,14,11,3,0,0,256
23,14,11,3,0,0,268
24,14,11,3,0,0,279
25,14,11,3,0,0,291
26,14,11,3,0,0,302
27,14,11,3,0,0,314
28,14,11,3,0,0,326
29,14,11,3,0,0,337
30,14,11,3,0,0,349
31,14,11,3,0,0,361
32,14,11,3,0,0,373
33,14,11,3,0,0,385
34,14,11,3,0,0,397
35,14,11,3,0,0,409
36,14,11,3,0,0,421
37,14,11,3,0,0,432
38,14,11,3,0,1,443
39,14,11,3,0,1,455
40,14,11,3,0,1,467
41,14,11,3,0,1,478
42,14,11,3,1,1,489
43,15,12,3,2,2,497
44,16,13,3,3,3,506
45,18,14,4,4,3,516
46,20,15,5,5,3,526
47,23,17,6,6,3,535
48,25,19,6,7,3,544
49,27,21,6,8,3,553
50,30,23,7,9,3,562
51,32,25,7,10,3,570
52,34,27,7,11,4,578
53,36,29,7,12,4,587
54,39,31,8,13,4,596
55,42,33,9,14,4,605
56,44,35,9,15,4,614
57,46,37,9,16,4,622
58,48,39,9,17,6,629
59,50,41,9,18,6,638
60,53,43,10,19,6,647
61,55,45,10,20,6,655
62,57,47,10,21,8,662
63,60,50,10,22,8,670
64,62,52,10,23,8,679
65,64,54,10,24,8,687
66,66,56,10,25,9,695
67,68,58,10,26,9,704
68,70,60,10,27,9,713
69,72,62,10,28,9,721
70,74,64,10,29,9,730
71,76,66,10,30,9,739
72,79,68,11,31,9,748
73,83,70,13,32,9,757
74,85,72,13,33,9,766
75,87,74,13,34,9,775
76,89,76,13,35,9,783
77,91,78,13,36,10,790
78,93,80,13,37,10,799
79,96,82,14,38,10,808
80,99,84,15,39,10,817
81,101,86,15,40,10,825
82,103,88,15,41,10,833
83,106,90,16,42,10,842
84,108,92,16,43,10,851
85,110,94,16,44,10,860
86,112,96,16,45,10,866
87,114,98,16,46,11,874
88,116,100,16,47,11,883
89,119,102,17,48,11,892
90,122,104,18,49,11,901
91,124,106,18,50,11,910
92,126,108,18,51,11,919
93,128,110,18,52,11,928
94,130,112,18,53,11,937
95,132,114,18,54,11,946
96,134,116,18,55,12,952
97,136,118,18,56,12,961
98,139,120,19,57,12,970
99,141,122,19,58,12,979
100,143,124,19,59,12,987
101,145,126,19,60,13,995
102,147,128,19,61,14,1003
103,150,130,20,62,14,1012
104,153,132,21,63,14,1020
105,155,134,21,64,14,1028
106,157,136,21,65,15,1036
107,159,138,21,66,15,1045
108,161,140,21,67,15,1054
109,164,142,22,68,15,1063
110,166,144,22,69,15,1072
111,168,146,22,70,15,1081
112,170,148,22,71,15,1090
113,173,150,23,72,15,1099
114,175,152,23,73,15,1108
115,177,154,23,74,15,1117
116,179,156,23,75,15,1126
117,181,158,23,76,15,1135
118,183,160,23,77,15,1144
119,185,162,23,78,15,1152
120,187,164,23,79,15,1161
121,189,166,23,80,15,1170
122,191,168,23,81,15,1178
123,193,170,23,82,16,1186
124,195,172,23,83,16,1195
125,198,174,24,84,16,1203
126,201,176,25,85,16,1212
127,205,178,27,86,16,1220
128,207,180,27,87,16,1228
129,209,182,27,88,17,1236
130,211,184,27,89,17,1245
131,215,186,29,90,17,1254
132,218,188,30,91,17,1263
133,220,190,30,92,17,1272
134,222,192,30,93,17,1281
135,224,194,30,94,18,1289
136,226,196,30,95,18,1298
137,228,198,30,96,18,1307
138,230,200,30,97,18,1316
139,232,202,30,98,18,1325
140,234,204,30,99,18,1334
141,236,206,30,100,18,1343
142,238,208,30,101,18,1352
143,240,210,30,102,18,1361
144,242,212,30,103,18,1368
145,244,214,30,104,19,1376
146,246,216,30,105,19,1385
147,249,218,31,106,19,1394
148,252,220,32,107,19,1403
149,254,222,32,108,20,1411
150,256,224,32,109,20,1420
151,258,226,32,110,20,1429
152,260,228,32,111,20,1438
153,262,230,32,112,20,1447
154,264,232,32,113,20,1456
155,266,234,32,114,20,1465
156,268,236,32,115,20,1473
157,270,238,32,116,20,1481
158,272,240,32,117,21,1489
159,274,242,32,118,21,1498
160,276,244,32,119,21,1506
161,278,246,32,120,21,1514
162,280,248,32,121,22,1521
163,282,250,32,122,22,1530
164,286,252,34,123,22,1539
165,290,254,36,124,22,1548
166,292,256,36,125,22,1557
167,294,258,36,126,22,1566
168,296,260,36,127,22,1575
169,298,262,36,128,22,1584
170,300,264,36,129,22,1593
171,302,266,36,130,22,1602
172,304,268,36,131,22,1611
173,306,270,36,132,22,1620
174,308,272,36,133,22,1629
175,310,274,36,134,22,1638
176,312,276,36,135,22,1647
177,315,278,37,136,22,1655
