AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;0;0;0;0;0;62;0
1;1;0;1;0;0;62;0
2;1;0;1;0;1;61;0
3;1;0;1;0;0;62;0
4;1;0;1;0;0;62;0
5;1;0;1;0;1;61;0
6;1;0;1;0;1;61;0
7;1;0;1;0;1;61;0
8;1;0;1;0;0;62;0
Total;8;0;8;0;4;554;0
