AGV,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps,Time_Steps
0,10,4,6,0,6,433,0
1,9,4,5,0,6,433,0
2,10,0,10,0,6,438,0
3,28,4,24,0,5,435,0
4,8,2,6,0,6,435,0
5,27,0,27,0,6,438,0
6,16,4,12,0,5,435,0
7,8,0,8,0,5,439,0
8,7,1,6,0,6,436,0
9,26,2,24,0,5,437,0
10,7,2,5,0,6,435,0
Total,156,23,133,0,62,4794,0
