AGV,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps,Time_Steps
0,1,0,1,0,9,766,0
1,4,0,4,0,10,764,0
2,3,0,3,0,13,758,0
Total,8,0,8,0,32,2288,0
