AGV,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps,Time_Steps
0,1139,1137,2,92,2,155,0
1,2,0,2,1137,3,246,0
2,10,0,10,29,20,1319,0
3,49,30,19,1,23,1312,0
4,6,0,6,0,19,1352,0
5,42,31,11,0,16,1326,0
Total,1248,1198,50,1259,83,5710,0
