,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps
0,0,0,0,0,0,11
1,0,0,0,0,0,22
2,0,0,0,0,0,33
3,0,0,0,0,0,44
4,1,0,1,0,0,55
5,2,0,2,0,0,66
6,3,1,2,0,0,75
7,5,1,4,0,0,86
8,6,1,5,0,0,96
9,6,1,5,0,0,107
10,7,1,6,0,0,117
11,7,1,6,0,0,128
12,7,1,6,0,0,139
13,7,1,6,0,0,149
14,7,1,6,0,0,160
15,7,1,6,0,0,171
16,7,1,6,0,0,182
17,7,1,6,0,0,193
18,7,1,6,0,0,204
19,7,1,6,0,0,214
20,7,1,6,0,0,225
21,7,1,6,0,0,236
22,7,1,6,0,0,246
23,7,1,6,0,0,257
24,7,1,6,0,0,268
25,7,1,6,0,0,279
26,7,1,6,0,0,289
27,7,1,6,0,0,300
28,7,1,6,0,0,311
29,7,1,6,0,0,321
30,7,1,6,0,0,332
31,7,1,6,0,0,343
32,7,1,6,0,0,354
33,7,1,6,0,0,365
34,7,1,6,0,0,376
35,7,1,6,0,0,387
36,7,1,6,0,0,398
37,7,1,6,0,0,409
38,7,1,6,0,0,420
39,8,1,7,0,0,430
40,9,1,8,0,0,441
41,10,1,9,0,0,452
42,11,1,10,0,0,463
43,12,1,11,0,0,474
44,13,1,12,0,1,484
45,14,1,13,0,1,494
46,15,1,14,0,1,505
47,16,1,15,0,1,516
48,17,1,16,0,2,525
49,18,1,17,0,2,536
50,18,1,17,0,2,547
51,19,1,18,0,2,558
52,20,1,19,0,2,569
53,21,1,20,0,2,580
54,23,1,22,0,2,591
55,25,1,24,0,2,602
56,26,1,25,0,2,613
57,27,1,26,0,2,624
58,27,1,26,0,2,635
59,27,1,26,0,2,646
60,27,1,26,0,3,656
61,28,1,27,0,3,667
62,28,1,27,0,5,676
63,28,1,27,0,5,687
64,28,1,27,0,6,696
65,29,1,28,0,6,707
66,32,1,31,0,7,717
67,33,1,32,0,8,727
68,33,1,32,0,8,738
69,33,1,32,0,8,749
70,33,1,32,0,9,759
71,33,1,32,0,9,770
72,35,2,33,0,9,780
73,36,2,34,0,9,791
74,36,2,34,0,10,801
75,36,2,34,0,10,812
76,36,2,34,0,10,823
77,36,2,34,0,10,834
78,36,2,34,0,10,845
79,36,2,34,0,11,855
80,36,2,34,0,11,865
81,36,2,34,0,11,876
82,36,2,34,0,11,887
83,36,2,34,0,12,897
84,36,2,34,0,12,908
85,36,2,34,0,12,919
86,36,2,34,0,12,930
87,36,2,34,0,12,941
88,36,2,34,0,12,952
89,36,2,34,0,12,963
90,36,2,34,0,12,974
91,36,2,34,0,12,985
92,36,2,34,0,12,996
93,36,2,34,0,12,1007
94,36,2,34,0,12,1017
95,36,2,34,0,12,1028
96,36,2,34,0,12,1039
97,36,2,34,0,12,1049
98,37,2,35,0,12,1060
99,37,2,35,0,12,1070
100,37,2,35,0,12,1081
101,37,2,35,0,12,1092
102,37,2,35,0,12,1103
103,37,2,35,0,12,1114
104,37,2,35,0,12,1125
105,37,2,35,0,12,1136
106,37,2,35,0,12,1147
107,37,2,35,0,12,1158
108,37,2,35,0,12,1169
109,37,2,35,0,12,1179
110,38,2,36,0,12,1189
111,39,2,37,0,13,1199
112,39,2,37,0,13,1209
113,41,3,38,0,13,1218
114,42,3,39,0,13,1229
115,43,3,40,0,13,1239
116,45,3,42,0,13,1250
117,45,3,42,0,13,1260
118,47,3,44,0,13,1271
119,47,3,44,0,13,1282
120,47,3,44,0,13,1292
