AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;1;0;1;0;2;201;0
1;1;0;1;0;3;200;0
2;1;0;1;0;3;199;0
3;3;0;3;0;3;199;0
4;1;0;1;150;0;54;0
5;1;0;1;0;2;201;0
6;0;0;0;154;0;50;0
7;0;0;0;156;0;48;0
8;0;0;0;159;0;45;0
Total;8;0;8;619;13;1197;0
