AGV,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps,Time_Steps
0,3,0,3,0,2,124,131
1,6,0,6,0,2,134,141
2,11,4,7,0,1,82,90
3,17,0,17,0,2,139,146
4,8,0,8,0,1,112,116
5,6,1,5,0,2,135,143
6,6,1,5,0,1,81,86
7,10,3,7,0,1,82,89
8,5,0,5,0,2,156,163
9,10,2,8,0,2,127,136
10,9,1,8,0,1,99,104
11,16,3,13,0,1,92,99
12,35,4,31,0,2,147,158
13,5,0,5,0,2,131,138
14,16,1,15,0,1,89,94
15,10,2,8,0,1,89,95
Total,173,22,151,0,24,1819,1929
