AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;2;0;2;257;3;265;0
1;3;0;3;101;6;415;0
2;6;0;6;153;5;364;0
3;19;0;19;0;7;515;0
4;6;0;6;245;4;276;0
5;7;0;7;0;6;517;0
6;3;0;3;335;3;188;0
7;0;0;0;464;1;63;0
8;0;0;0;483;0;45;0
9;6;0;6;0;7;514;0
10;0;0;0;489;0;39;0
11;0;0;0;493;0;35;0
Total;52;0;52;3020;42;3236;0
