,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps
0,0,0,0,0,0,12
1,0,0,0,0,0,24
2,0,0,0,0,0,36
3,0,0,0,0,0,48
4,1,0,1,0,0,60
5,2,0,2,0,0,72
6,3,1,2,0,0,82
7,5,1,4,0,0,94
8,6,1,5,0,0,105
9,6,1,5,0,0,117
10,7,1,6,0,0,128
11,7,1,6,0,0,140
12,7,1,6,0,0,152
13,7,1,6,0,0,163
14,7,1,6,0,0,175
15,7,1,6,0,0,187
16,7,1,6,0,0,199
17,7,1,6,0,0,211
18,7,1,6,0,0,223
19,7,1,6,0,0,234
20,7,1,6,0,0,246
21,7,1,6,0,0,258
22,7,1,6,0,0,269
23,7,1,6,0,0,281
24,7,1,6,0,0,293
25,7,1,6,0,0,305
26,7,1,6,0,0,316
27,7,1,6,0,0,328
28,7,1,6,0,0,340
29,7,1,6,0,0,351
30,7,1,6,0,0,363
31,7,1,6,0,0,374
32,7,1,6,0,0,386
33,7,1,6,0,0,398
34,7,1,6,0,0,410
35,7,1,6,0,0,422
36,7,1,6,0,0,434
37,7,1,6,0,0,446
38,7,1,6,0,0,458
39,8,1,7,0,0,469
40,9,1,8,0,0,481
41,10,1,9,0,0,493
42,11,1,10,0,0,505
43,12,1,11,0,0,517
44,13,1,12,0,1,528
45,14,1,13,0,1,539
46,15,1,14,0,1,551
47,16,1,15,0,1,563
48,17,1,16,0,2,573
49,18,1,17,0,2,585
50,18,1,17,0,2,597
51,19,1,18,0,3,608
52,20,1,19,0,3,620
53,21,1,20,0,3,632
54,22,1,21,0,3,644
55,23,1,22,0,3,656
56,23,1,22,0,3,668
57,23,1,22,0,3,680
58,23,1,22,0,3,692
59,23,1,22,0,4,703
60,24,1,23,0,4,715
61,26,1,25,0,5,726
62,27,1,26,0,5,738
63,27,1,26,0,6,749
64,30,2,28,0,7,759
65,32,2,30,0,7,771
66,34,2,32,0,8,782
67,35,2,33,0,8,794
68,36,2,34,0,9,805
69,37,2,35,0,9,817
70,38,2,36,0,10,828
71,39,2,37,0,10,840
72,41,2,39,0,10,852
73,42,2,40,0,11,863
74,44,2,42,0,11,875
75,46,2,44,0,11,887
76,48,2,46,0,11,898
77,50,2,48,0,11,910
78,52,2,50,0,11,922
79,54,2,52,0,12,933
80,56,2,54,0,12,945
81,58,2,56,0,12,957
82,60,2,58,0,12,969
83,62,2,60,0,12,981
84,64,2,62,0,12,993
85,66,2,64,0,12,1004
86,69,2,67,0,12,1016
87,71,2,69,0,12,1028
88,73,2,71,0,12,1040
89,75,2,73,0,12,1051
90,77,2,75,0,12,1062
91,79,2,77,0,12,1074
92,80,2,78,0,12,1086
93,81,2,79,0,12,1098
94,83,2,81,0,12,1110
95,84,2,82,0,12,1122
96,84,2,82,0,12,1134
97,84,2,82,0,12,1146
98,84,2,82,0,12,1158
99,84,2,82,0,12,1170
100,84,2,82,0,12,1182
101,84,2,82,0,12,1193
102,86,3,83,0,12,1204
103,86,3,83,0,12,1216
104,86,3,83,0,12,1227
105,86,3,83,0,12,1239
106,86,3,83,0,12,1251
107,86,3,83,0,13,1261
108,87,3,84,0,13,1273
109,88,3,85,0,13,1285
110,90,4,86,0,13,1296
111,92,5,87,0,13,1306
112,94,5,89,0,13,1318
113,94,5,89,0,13,1329
114,97,7,90,0,13,1339
115,98,8,90,0,13,1350
116,99,9,90,0,13,1360
117,99,9,90,0,13,1372
118,99,9,90,0,13,1383
119,99,9,90,0,13,1395
120,99,9,90,0,13,1407
121,100,10,90,0,14,1417
122,101,10,91,0,14,1428
123,102,10,92,0,15,1439
124,103,10,93,0,15,1451
125,103,10,93,0,15,1463
126,103,10,93,0,16,1474
127,103,10,93,0,16,1486
128,103,10,93,0,16,1498
129,103,10,93,0,16,1510
130,104,10,94,0,16,1522
131,104,10,94,0,17,1533
132,104,10,94,0,17,1545
133,104,10,94,0,17,1557
134,104,10,94,0,18,1568
135,104,10,94,0,18,1580
136,104,10,94,0,18,1592
137,104,10,94,0,18,1604
138,104,10,94,0,18,1616
139,104,10,94,0,18,1628
140,104,10,94,0,18,1640
141,104,10,94,0,18,1652
142,104,10,94,0,18,1664
143,104,10,94,0,18,1676
144,104,10,94,0,18,1688
145,104,10,94,0,18,1700
146,105,10,95,0,18,1712
147,105,10,95,0,18,1724
148,105,10,95,0,18,1735
149,105,10,95,0,18,1747
150,105,10,95,0,18,1759
151,105,10,95,0,18,1771
152,105,10,95,0,18,1783
153,105,10,95,0,18,1795
154,105,10,95,0,19,1805
155,105,10,95,0,19,1817
156,105,10,95,0,19,1829
157,105,10,95,0,19,1841
158,105,10,95,0,20,1851
159,105,10,95,0,20,1863
160,105,10,95,0,20,1875
161,105,10,95,0,21,1886
162,106,11,95,0,21,1897
163,106,11,95,0,21,1909
164,107,12,95,0,22,1919
165,108,12,96,0,23,1930
166,108,12,96,0,24,1941
167,109,12,97,0,24,1953
168,110,12,98,0,24,1965
169,111,12,99,0,24,1977
170,112,12,100,0,24,1989
171,113,12,101,0,24,2001
172,114,12,102,0,24,2013
173,115,12,103,0,25,2024
