AGV,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps,Time_Steps
0,406,83,323,0,653,42950,44340
1,385,52,333,0,651,42966,44321
2,407,78,329,0,654,42971,0
Total,1198,213,985,0,1958,128887,88661
