AGV,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps,Time_Steps
0,206,16,190,4584,523,42839,0
1,124,11,113,4125,644,43066,0
2,199,14,185,3204,782,43707,0
Total,529,41,488,11913,1949,129612,0
