,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps
0,0,0,0,0,0,11
1,1,0,1,0,0,22
2,3,0,3,0,0,33
3,4,0,4,0,0,44
4,6,0,6,0,0,55
5,8,0,8,0,0,66
6,9,0,9,0,0,76
7,11,0,11,0,0,87
8,12,0,12,0,0,98
9,12,0,12,0,0,109
10,13,0,13,0,0,120
11,13,0,13,0,0,131
12,13,0,13,0,0,141
13,14,0,14,0,0,151
14,15,0,15,0,0,162
15,15,0,15,0,0,172
16,15,0,15,0,0,183
17,15,0,15,0,0,194
18,15,0,15,0,0,204
19,15,0,15,0,0,215
20,15,0,15,0,0,226
21,15,0,15,0,0,237
22,15,0,15,0,0,248
23,15,0,15,0,0,259
24,15,0,15,0,0,269
25,16,0,16,0,0,280
26,17,0,17,0,0,291
27,18,0,18,0,0,302
28,19,0,19,0,0,313
29,20,0,20,0,0,323
30,20,0,20,0,0,334
31,20,0,20,0,0,344
32,20,0,20,0,0,355
33,20,0,20,0,0,366
34,20,0,20,0,0,377
35,20,0,20,0,0,388
36,20,0,20,0,0,399
37,20,0,20,0,0,410
38,20,0,20,0,0,420
39,20,0,20,0,0,431
40,21,0,21,0,0,442
41,22,0,22,0,0,453
42,23,0,23,0,0,464
43,25,2,23,0,1,472
44,26,3,23,0,1,482
45,27,4,23,0,2,491
46,27,4,23,0,2,502
47,28,4,24,0,3,512
48,28,4,24,0,3,521
49,29,4,25,0,3,532
50,29,4,25,0,3,543
51,31,4,27,0,3,554
52,31,4,27,0,4,564
53,31,4,27,0,4,574
54,32,5,27,1,4,583
55,33,6,27,2,4,592
56,35,7,28,3,4,601
57,36,8,28,4,4,610
58,37,9,28,5,5,618
59,38,10,28,6,5,627
60,39,11,28,7,5,636
61,40,12,28,8,5,645
62,42,13,29,9,5,654
63,43,14,29,10,5,663
64,44,15,29,11,5,672
65,46,16,30,12,5,681
66,47,17,30,13,6,689
67,48,18,30,14,6,698
68,50,19,31,15,6,707
69,51,20,31,16,6,716
70,52,21,31,17,7,724
71,53,22,31,18,7,733
72,54,23,31,19,7,742
73,56,24,32,20,8,750
74,57,25,32,21,8,759
75,58,26,32,22,8,768
76,59,27,32,23,8,777
77,61,28,33,24,8,785
78,62,29,33,25,8,793
79,63,30,33,26,8,802
80,64,31,33,27,8,811
81,65,32,33,28,8,820
82,66,33,33,29,8,829
83,67,34,33,30,8,838
84,68,35,33,31,8,847
85,69,36,33,32,8,856
86,70,37,33,33,8,865
87,71,38,33,34,9,873
88,72,39,33,35,9,882
89,73,40,33,36,9,890
90,74,41,33,37,9,899
91,75,42,33,38,9,907
92,76,43,33,39,9,916
93,77,44,33,40,9,925
94,78,45,33,41,9,934
95,79,46,33,42,9,943
96,80,47,33,43,9,952
97,81,48,33,44,9,961
98,82,49,33,45,9,969
99,83,50,33,46,9,978
100,84,51,33,47,9,987
101,85,52,33,48,9,995
102,86,53,33,49,9,1004
103,87,54,33,50,9,1012
104,89,55,34,51,9,1021
105,90,56,34,52,9,1030
106,92,58,34,53,9,1038
107,94,60,34,54,9,1046
108,96,62,34,55,9,1054
109,98,64,34,56,10,1061
110,100,66,34,57,10,1068
111,102,68,34,58,10,1076
112,105,70,35,59,10,1084
113,107,72,35,60,10,1092
114,109,74,35,61,10,1100
115,111,76,35,62,10,1108
116,113,78,35,63,10,1116
117,115,80,35,64,10,1124
118,118,82,36,65,10,1132
119,121,84,37,66,10,1140
120,123,86,37,67,10,1148
121,126,88,38,68,10,1156
122,129,90,39,69,10,1164
123,131,92,39,70,11,1171
124,133,94,39,71,11,1179
125,135,96,39,72,11,1187
126,137,98,39,73,12,1194
127,140,100,40,74,12,1202
128,143,102,41,75,12,1210
129,147,104,43,76,12,1218
130,150,106,44,77,12,1226
131,152,108,44,78,12,1234
132,155,111,44,79,12,1241
133,158,114,44,80,12,1247
134,161,117,44,81,12,1253
135,164,120,44,82,12,1260
136,167,123,44,83,12,1267
137,170,126,44,84,12,1274
138,173,129,44,85,13,1280
139,176,132,44,86,13,1287
140,179,135,44,87,14,1293
141,182,138,44,88,14,1300
142,185,141,44,89,14,1307
143,188,144,44,90,14,1314
144,191,147,44,91,14,1321
145,194,150,44,92,14,1328
146,197,153,44,93,14,1335
147,200,156,44,94,14,1342
148,203,159,44,95,14,1349
149,206,162,44,96,14,1356
150,210,165,45,97,14,1363
151,213,168,45,98,14,1370
152,216,171,45,99,14,1377
153,219,174,45,100,14,1384
154,222,177,45,101,14,1391
155,225,180,45,102,14,1398
156,228,183,45,103,14,1405
157,231,186,45,104,14,1411
158,234,189,45,105,14,1417
159,237,192,45,106,15,1423
160,240,195,45,107,15,1430
161,243,198,45,108,15,1437
162,247,201,46,109,15,1444
163,251,204,47,110,16,1449
164,254,207,47,111,16,1456
165,257,210,47,112,16,1463
166,260,213,47,113,16,1470
167,263,216,47,114,16,1477
168,266,219,47,115,16,1484
169,269,222,47,116,16,1491
170,272,225,47,117,16,1498
171,275,228,47,118,16,1504
172,278,231,47,119,16,1511
173,281,234,47,120,16,1518
174,284,237,47,121,16,1525
175,287,240,47,122,16,1532
176,290,243,47,123,16,1539
177,293,246,47,124,17,1545
178,297,250,47,125,17,1550
179,301,253,48,126,17,1557
180,304,256,48,127,18,1563
181,307,259,48,128,18,1570
182,310,262,48,129,18,1577
183,313,265,48,130,18,1584
184,316,268,48,131,18,1591
185,319,271,48,132,18,1598
186,323,274,49,133,18,1605
187,326,277,49,134,18,1612
188,329,280,49,135,18,1619
189,332,283,49,136,18,1626
190,335,286,49,137,18,1633
191,338,289,49,138,18,1640
192,342,292,50,139,18,1647
193,346,295,51,140,18,1654
194,349,298,51,141,19,1660
195,354,302,52,142,19,1666
196,359,306,53,143,19,1672
197,364,310,54,144,19,1678
198,368,314,54,145,19,1683
199,372,318,54,146,19,1689
200,376,322,54,147,20,1694
201,381,327,54,148,20,1699
202,385,331,54,149,20,1705
203,390,335,55,150,21,1710
204,395,339,56,151,21,1716
205,399,343,56,152,21,1722
206,403,347,56,153,21,1728
207,407,351,56,154,21,1734
208,411,355,56,155,21,1740
209,415,359,56,156,21,1746
210,419,363,56,157,21,1752
211,423,367,56,158,21,1758
212,427,371,56,159,21,1764
213,431,375,56,160,21,1770
214,435,379,56,161,21,1776
215,439,383,56,162,21,1781
216,444,387,57,163,21,1787
217,449,391,58,164,21,1793
218,454,395,59,165,21,1799
219,458,399,59,166,21,1805
220,463,403,60,167,21,1811
221,467,407,60,168,21,1817
222,472,412,60,169,21,1822
223,477,417,60,170,21,1826
224,482,422,60,171,21,1831
225,487,427,60,172,21,1836
226,492,432,60,173,21,1840
227,497,437,60,174,21,1845
228,502,442,60,175,21,1850
229,507,447,60,176,21,1855
230,512,452,60,177,21,1860
231,517,457,60,178,21,1865
232,522,462,60,179,21,1870
233,527,467,60,180,21,1875
234,532,472,60,181,21,1879
235,537,477,60,182,21,1884
236,542,482,60,183,21,1889
237,547,487,60,184,21,1893
238,552,492,60,185,21,1898
239,557,497,60,186,21,1903
240,562,502,60,187,21,1908
241,567,507,60,188,21,1913
242,572,512,60,189,21,1918
243,577,517,60,190,21,1923
244,582,522,60,191,21,1928
245,587,527,60,192,21,1933
246,592,532,60,193,21,1938
247,597,537,60,194,21,1943
248,602,542,60,195,21,1948
