AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;269;7;262;0;664;43669;45022
1;218;5;213;0;641;43226;44536
2;167;8;159;0;653;43076;44407
Total;654;20;634;0;1958;129971;133965
