AGV,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps,Time_Steps
0,357,349,8,342,5,392,0
1,859,855,4,57,2,180,0
2,662,649,13,53,6,379,0
3,827,824,3,25,3,240,0
4,475,452,23,300,5,330,0
5,147,133,14,29,12,900,0
6,16,0,16,0,16,1051,0
7,410,404,6,108,8,561,0
8,471,465,6,110,6,505,0
9,276,257,19,0,13,803,0
Total,4500,4388,112,1024,76,5341,0
