AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;7;1;6;0;4;259;0
1;10;1;9;0;4;261;0
2;31;0;31;0;4;262;0
3;3;0;3;0;3;263;0
4;2;0;2;0;3;264;0
5;36;1;35;0;4;261;0
Total;89;3;86;0;22;1570;0
