;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps
0;0;0;0;0;0;12
1;1;0;1;0;0;24
2;4;0;4;0;0;36
3;4;0;4;0;0;48
4;6;0;6;0;0;60
5;7;0;7;0;0;72
6;8;0;8;0;0;83
7;10;0;10;0;0;95
8;10;0;10;0;0;107
9;11;0;11;0;0;119
10;12;0;12;0;0;131
11;12;0;12;0;0;143
12;13;0;13;0;0;154
13;13;0;13;0;0;166
14;14;0;14;0;0;178
15;14;0;14;0;0;190
16;14;0;14;0;0;201
17;14;0;14;0;0;212
18;14;0;14;0;0;224
19;14;0;14;0;0;235
20;14;0;14;0;0;247
21;14;0;14;0;0;259
22;14;0;14;0;0;270
23;14;0;14;0;0;280
24;14;0;14;0;0;291
25;14;0;14;0;0;303
26;14;0;14;0;0;315
27;14;0;14;0;0;326
28;14;0;14;0;0;338
29;14;0;14;0;0;350
30;14;0;14;0;0;362
31;14;0;14;0;0;373
32;14;0;14;0;0;384
33;14;0;14;0;0;396
34;14;0;14;0;0;408
35;14;0;14;0;0;420
36;14;0;14;0;0;432
37;14;0;14;0;0;444
38;14;0;14;0;0;456
39;14;0;14;0;0;467
40;14;0;14;1;0;478
41;14;0;14;2;0;489
42;14;0;14;3;0;500
43;14;0;14;4;0;510
44;14;0;14;5;0;521
45;14;0;14;6;0;532
46;14;0;14;7;0;543
47;14;0;14;8;0;554
48;15;0;15;9;1;564
49;16;0;16;10;1;575
50;17;0;17;11;1;585
51;17;0;17;12;2;595
52;17;0;17;13;2;606
53;17;0;17;14;2;617
54;17;0;17;15;3;627
55;17;0;17;16;3;638
56;17;0;17;17;4;648
57;17;0;17;18;4;659
58;17;0;17;19;4;670
59;17;0;17;20;4;681
60;17;0;17;21;4;692
61;18;0;18;22;5;702
62;19;0;19;23;5;713
63;20;0;20;24;5;724
64;20;0;20;25;6;734
65;20;0;20;26;6;745
66;20;0;20;27;6;756
67;20;0;20;28;6;767
68;20;0;20;29;7;777
69;20;0;20;30;7;788
70;20;0;20;31;7;798
71;20;0;20;32;7;809
72;20;0;20;33;9;818
73;20;0;20;34;9;829
74;20;0;20;35;9;840
75;20;0;20;36;9;851
76;20;0;20;37;9;862
77;20;0;20;38;9;873
78;20;0;20;39;9;884
79;20;0;20;40;9;893
80;20;0;20;41;9;904
81;20;0;20;42;9;915
82;20;0;20;43;9;924
83;20;0;20;46;9;933
84;20;0;20;49;9;942
85;20;0;20;52;9;951
86;20;0;20;55;9;960
87;20;0;20;58;9;968
88;20;0;20;61;9;977
89;20;0;20;64;10;985
90;20;0;20;67;10;994
91;20;0;20;70;10;1003
92;20;0;20;73;10;1012
93;20;0;20;76;10;1021
94;20;0;20;79;10;1030
95;20;0;20;82;10;1039
96;20;0;20;85;10;1048
97;20;0;20;88;10;1057
98;20;0;20;91;10;1066
99;20;0;20;94;10;1075
100;20;0;20;97;10;1084
101;20;0;20;100;10;1092
102;20;0;20;103;10;1101
103;20;0;20;106;10;1109
104;20;0;20;109;11;1117
105;20;0;20;112;11;1126
106;20;0;20;115;11;1134
107;21;0;21;118;11;1143
108;21;0;21;121;11;1152
109;21;0;21;124;11;1161
110;21;0;21;127;11;1170
111;21;0;21;130;11;1179
112;21;0;21;133;13;1186
113;21;0;21;136;13;1195
114;21;0;21;139;13;1204
115;21;0;21;142;13;1213
116;21;0;21;145;13;1222
117;22;0;22;148;13;1231
118;22;0;22;151;13;1240
119;22;0;22;154;13;1249
120;22;0;22;157;13;1258
121;22;0;22;160;13;1267
122;22;0;22;163;13;1275
123;22;0;22;165;13;1285
124;22;0;22;167;13;1294
125;22;0;22;169;13;1303
126;22;0;22;171;13;1313
127;22;0;22;173;13;1323
128;22;0;22;175;13;1332
129;22;0;22;177;14;1341
130;23;0;23;179;14;1351
131;23;0;23;181;15;1360
132;23;0;23;183;15;1370
133;23;0;23;185;15;1380
134;23;0;23;187;15;1390
135;23;0;23;189;15;1400
136;23;0;23;191;15;1410
137;23;0;23;193;15;1419
138;23;0;23;195;15;1429
139;23;0;23;197;15;1439
140;24;0;24;199;15;1449
