AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;277;66;211;17666;170;10912;29029
1;266;12;254;709;401;28290;29819
2;335;18;317;8184;328;20660;29554
3;198;16;182;9902;218;19284;29663
4;126;12;114;18728;149;9748;28810
5;531;35;496;11954;287;16498;29112
6;252;47;205;14708;139;13885;28962
7;608;45;563;22307;98;6471;29064
8;330;49;281;20249;168;8139;28830
Total;2923;300;2623;124407;1958;133887;262843
