AGV,Conflicts,Conflict_Wait,Conflict_Path,Waiting_Gate,Articles,Moving_Steps,Time_Steps
0,445,433,12,1,7,578,0
1,25,0,25,0,12,1003,0
2,270,263,7,0,7,750,0
3,717,707,10,0,5,310,0
4,837,832,5,0,2,191,0
5,856,850,6,0,1,175,0
6,896,896,0,0,1,129,0
7,2,0,2,908,2,114,0
8,768,756,12,0,3,265,0
Total,4816,4737,79,909,40,3515,0
