;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps
0;0;0;0;0;0;12
1;1;0;1;0;0;24
2;2;0;2;0;0;36
3;2;0;2;0;0;48
4;3;0;3;0;0;60
5;3;0;3;0;0;72
6;3;0;3;0;0;84
7;3;0;3;0;0;96
8;3;0;3;0;0;108
9;3;0;3;0;0;119
10;3;0;3;0;0;131
11;3;0;3;0;0;142
12;3;0;3;0;0;153
13;3;0;3;0;0;165
14;3;0;3;0;0;177
15;3;0;3;0;0;189
16;3;0;3;0;0;201
17;3;0;3;0;0;213
18;3;0;3;0;0;225
19;3;0;3;0;0;237
20;3;0;3;0;0;249
21;3;0;3;0;0;260
22;3;0;3;0;0;272
23;3;0;3;0;0;284
24;3;0;3;0;0;293
25;3;0;3;0;0;304
26;3;0;3;0;0;316
27;3;0;3;0;0;327
28;3;0;3;0;0;339
29;3;0;3;0;0;350
30;3;0;3;0;0;360
31;3;0;3;0;0;372
32;3;0;3;0;0;384
33;3;0;3;0;0;395
34;3;0;3;0;0;407
35;3;0;3;0;0;419
36;3;0;3;0;0;430
37;3;0;3;1;0;441
38;3;0;3;2;0;452
39;3;0;3;3;0;463
40;3;0;3;4;0;473
41;3;0;3;6;0;482
42;3;0;3;8;0;491
43;3;0;3;10;0;500
44;3;0;3;12;0;510
45;3;0;3;14;0;520
46;3;0;3;16;0;529
47;3;0;3;19;0;538
48;4;0;4;22;0;547
49;4;0;4;25;0;555
50;5;0;5;29;0;563
51;5;0;5;33;0;570
52;5;0;5;38;0;577
53;5;0;5;43;0;584
54;6;0;6;48;0;591
55;7;0;7;53;0;598
56;7;0;7;58;1;604
57;7;0;7;63;1;611
58;7;0;7;68;1;618
59;7;0;7;73;1;625
60;7;0;7;78;1;631
61;8;0;8;84;1;637
62;8;0;8;90;2;642
63;9;0;9;96;3;647
64;9;0;9;102;3;653
65;10;0;10;108;3;659
66;11;0;11;114;3;665
67;11;0;11;120;3;671
68;11;0;11;126;4;676
69;11;0;11;132;4;682
70;11;0;11;138;5;687
71;11;0;11;144;6;692
72;11;0;11;150;6;698
73;11;0;11;156;6;704
74;11;0;11;162;6;710
75;11;0;11;168;6;716
76;11;0;11;174;6;722
77;11;0;11;180;6;728
78;11;0;11;186;6;734
79;11;0;11;192;6;740
80;11;0;11;198;6;746
81;11;0;11;204;6;752
82;11;0;11;210;6;758
83;11;0;11;216;6;764
84;11;0;11;222;6;770
85;11;0;11;228;6;776
86;11;0;11;234;6;782
87;11;0;11;240;6;788
88;11;0;11;246;6;794
89;11;0;11;252;6;799
90;11;0;11;258;6;805
91;11;0;11;264;6;811
92;11;0;11;270;6;817
93;11;0;11;276;6;823
94;11;0;11;282;6;828
95;11;0;11;288;6;834
96;11;0;11;294;6;840
97;11;0;11;300;6;846
98;11;0;11;306;6;852
99;11;0;11;312;6;858
100;11;0;11;318;6;863
101;12;0;12;324;6;869
102;12;0;12;330;6;874
103;12;0;12;336;6;880
104;12;0;12;342;6;886
105;12;0;12;348;6;892
106;12;0;12;354;6;898
107;12;0;12;360;6;904
108;12;0;12;366;6;910
109;12;0;12;372;7;915
110;12;0;12;378;7;921
111;12;0;12;384;7;927
112;12;0;12;390;7;932
113;12;0;12;396;7;938
114;12;0;12;402;7;944
115;12;0;12;408;7;950
116;12;0;12;414;7;956
117;12;0;12;420;7;962
118;14;0;14;426;7;968
119;14;0;14;432;7;974
120;14;0;14;438;7;980
121;14;0;14;444;7;986
122;14;0;14;450;7;992
123;14;0;14;456;7;998
124;14;0;14;462;7;1004
125;14;0;14;468;7;1010
126;14;0;14;474;8;1015
127;14;0;14;480;8;1021
128;14;0;14;486;8;1027
129;14;0;14;492;8;1033
130;14;0;14;498;8;1039
131;14;0;14;504;8;1044
132;14;0;14;510;9;1049
133;14;0;14;516;9;1055
134;15;0;15;522;9;1061
135;15;0;15;528;9;1067
136;15;0;15;534;9;1073
137;15;0;15;540;9;1079
138;15;0;15;546;9;1085
139;15;0;15;552;9;1091
140;15;0;15;558;9;1097
141;15;0;15;564;9;1103
142;15;0;15;570;9;1109
143;15;0;15;576;10;1114
144;15;0;15;582;10;1120
145;15;0;15;588;10;1126
146;15;0;15;594;10;1132
147;15;0;15;600;10;1138
148;15;0;15;606;10;1144
149;15;0;15;612;10;1150
150;15;0;15;618;10;1155
151;15;0;15;624;10;1161
152;15;0;15;630;10;1167
153;15;0;15;636;10;1173
154;15;0;15;642;10;1179
155;15;0;15;648;10;1185
156;15;0;15;654;10;1191
157;15;0;15;660;10;1197
158;15;0;15;666;10;1203
159;15;0;15;672;10;1209
160;15;0;15;678;10;1215
161;15;0;15;684;10;1221
162;15;0;15;690;10;1227
163;15;0;15;696;10;1233
164;15;0;15;702;10;1238
165;15;0;15;708;10;1244
166;15;0;15;714;11;1249
167;15;0;15;720;11;1255
168;15;0;15;726;11;1261
169;15;0;15;732;11;1267
170;15;0;15;738;11;1273
171;15;0;15;744;11;1279
172;15;0;15;750;11;1285
173;15;0;15;756;11;1291
174;15;0;15;762;11;1296
175;15;0;15;768;11;1302
176;15;0;15;774;11;1308
177;15;0;15;780;11;1314
178;15;0;15;786;11;1320
179;15;0;15;792;11;1326
180;15;0;15;798;11;1331
181;15;0;15;804;11;1337
182;15;0;15;810;11;1343
183;15;0;15;816;11;1349
184;16;0;16;822;11;1355
185;16;0;16;828;11;1361
186;16;0;16;834;11;1367
187;16;0;16;840;11;1373
188;16;0;16;846;11;1379
189;16;0;16;852;11;1385
190;16;0;16;858;12;1390
191;16;0;16;864;12;1396
192;16;0;16;870;12;1402
193;16;0;16;876;13;1407
194;16;0;16;882;13;1413
195;16;0;16;888;13;1419
196;16;0;16;894;13;1425
197;16;0;16;900;13;1431
198;17;0;17;906;13;1436
199;17;0;17;912;13;1442
200;17;0;17;918;13;1448
201;17;0;17;924;13;1454
202;17;0;17;930;14;1459
203;18;0;18;936;14;1465
204;18;0;18;942;14;1471
205;18;0;18;948;14;1477
206;18;0;18;954;15;1482
207;18;0;18;960;15;1488
208;18;0;18;966;15;1494
209;18;0;18;972;15;1500
210;18;0;18;978;15;1506
211;18;0;18;984;15;1512
212;18;0;18;990;15;1518
213;18;0;18;996;15;1524
214;19;0;19;1002;15;1530
215;20;0;20;1008;15;1535
216;20;0;20;1014;15;1541
217;20;0;20;1020;15;1547
218;20;0;20;1026;15;1553
219;20;0;20;1032;15;1559
220;20;0;20;1038;15;1565
221;20;0;20;1044;15;1571
222;20;0;20;1050;15;1577
223;20;0;20;1056;15;1583
224;20;0;20;1062;15;1589
225;20;0;20;1068;15;1595
226;20;0;20;1074;15;1601
227;20;0;20;1080;15;1607
228;20;0;20;1086;16;1612
229;20;0;20;1092;16;1617
230;21;0;21;1098;16;1623
231;21;0;21;1104;16;1629
232;22;0;22;1110;16;1635
233;23;0;23;1116;16;1641
234;24;0;24;1122;16;1646
235;24;0;24;1128;17;1651
236;24;0;24;1134;17;1657
237;24;0;24;1140;17;1662
238;24;0;24;1146;17;1668
239;24;0;24;1152;17;1674
240;24;0;24;1158;17;1680
241;24;0;24;1164;18;1685
242;24;0;24;1170;18;1691
243;24;0;24;1176;18;1697
244;24;0;24;1182;18;1703
245;24;0;24;1188;18;1709
246;24;0;24;1194;18;1715
247;24;0;24;1200;18;1721
248;24;0;24;1206;18;1727
249;24;0;24;1212;18;1733
250;24;0;24;1218;18;1739
251;24;0;24;1224;18;1745
252;24;0;24;1230;18;1751
253;24;0;24;1236;18;1757
254;24;0;24;1242;19;1761
255;24;0;24;1248;19;1767
256;24;0;24;1254;19;1773
257;24;0;24;1260;19;1779
258;24;0;24;1266;19;1785
259;24;0;24;1272;19;1791
260;24;0;24;1278;19;1797
261;25;0;25;1284;19;1803
262;25;0;25;1290;19;1809
263;25;0;25;1296;19;1815
264;25;0;25;1302;19;1821
265;25;0;25;1308;19;1827
266;25;0;25;1314;19;1832
267;25;0;25;1320;19;1838
268;26;0;26;1326;19;1844
269;26;0;26;1332;20;1849
270;26;0;26;1338;20;1855
271;26;0;26;1344;20;1861
272;26;0;26;1350;20;1866
273;26;0;26;1357;20;1870
274;26;0;26;1364;20;1875
275;26;0;26;1371;20;1880
276;26;0;26;1378;20;1885
277;26;0;26;1385;21;1889
278;26;0;26;1392;21;1894
279;26;0;26;1399;21;1898
280;26;0;26;1406;21;1903
281;26;0;26;1413;21;1908
282;26;0;26;1420;21;1913
283;27;0;27;1427;21;1918
284;28;0;28;1434;21;1923
285;28;0;28;1441;21;1928
286;28;0;28;1448;21;1933
287;28;0;28;1455;21;1938
288;28;0;28;1462;21;1943
289;28;0;28;1469;21;1948
290;28;0;28;1476;21;1953
291;29;0;29;1483;21;1958
292;29;0;29;1490;22;1962
293;29;0;29;1497;22;1967
294;29;0;29;1504;22;1972
295;29;0;29;1511;22;1977
296;29;0;29;1518;22;1982
297;29;0;29;1525;22;1987
298;29;0;29;1532;22;1991
299;29;0;29;1539;22;1996
300;29;0;29;1546;23;2000
301;29;0;29;1553;23;2005
302;29;0;29;1560;23;2010
303;29;0;29;1567;23;2015
304;29;0;29;1574;24;2019
305;29;0;29;1581;24;2024
306;29;0;29;1587;24;2030
307;29;0;29;1593;24;2036
308;29;0;29;1599;24;2042
309;29;0;29;1605;24;2048
310;29;0;29;1611;24;2054
311;29;0;29;1617;24;2060
312;29;0;29;1623;25;2065
313;29;0;29;1629;25;2071
314;29;0;29;1635;25;2077
315;29;0;29;1641;25;2083
316;29;0;29;1647;25;2089
317;29;0;29;1653;25;2095
318;29;0;29;1659;25;2101
319;29;0;29;1665;25;2107
320;29;0;29;1671;25;2112
321;29;0;29;1677;25;2118
322;29;0;29;1683;25;2124
323;29;0;29;1689;25;2130
324;29;0;29;1695;25;2136
325;29;0;29;1701;25;2142
326;29;0;29;1707;25;2148
327;29;0;29;1713;26;2153
328;29;0;29;1719;26;2159
329;29;0;29;1725;26;2165
330;29;0;29;1731;26;2171
331;29;0;29;1737;26;2177
332;29;0;29;1743;26;2183
333;29;0;29;1749;26;2189
334;29;0;29;1755;26;2195
335;29;0;29;1761;26;2201
336;29;0;29;1767;26;2207
337;29;0;29;1773;26;2213
338;29;0;29;1779;26;2219
339;29;0;29;1785;26;2225
340;29;0;29;1791;26;2231
341;29;0;29;1797;26;2235
342;29;0;29;1803;26;2241
343;29;0;29;1809;26;2247
344;29;0;29;1815;26;2253
345;29;0;29;1821;26;2259
346;29;0;29;1827;26;2265
347;29;0;29;1833;26;2271
348;29;0;29;1839;26;2276
349;29;0;29;1845;26;2281
350;29;0;29;1851;26;2287
351;29;0;29;1857;26;2293
352;29;0;29;1863;26;2299
353;29;0;29;1869;26;2305
354;30;0;30;1875;26;2311
355;30;0;30;1881;26;2317
356;30;0;30;1887;26;2322
357;30;0;30;1893;26;2328
358;30;0;30;1899;26;2334
359;30;0;30;1905;26;2340
360;30;0;30;1911;26;2346
361;30;0;30;1917;26;2352
362;30;0;30;1923;26;2358
363;30;0;30;1929;27;2363
364;30;0;30;1935;27;2369
365;30;0;30;1941;27;2375
366;30;0;30;1947;27;2381
367;30;0;30;1953;27;2387
368;30;0;30;1959;27;2393
369;30;0;30;1965;27;2399
370;31;0;31;1971;27;2405
371;32;0;32;1977;27;2411
372;32;0;32;1983;27;2417
373;32;0;32;1989;27;2423
374;32;0;32;1995;27;2429
375;32;0;32;2001;27;2435
376;32;0;32;2007;27;2440
377;32;0;32;2014;27;2445
378;33;0;33;2021;27;2450
379;34;0;34;2028;27;2455
380;34;0;34;2035;27;2460
381;34;0;34;2042;27;2465
