AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;771;64;707;33;219;14817;15358
1;948;78;870;0;217;14884;15404
2;838;70;768;21;219;14847;15385
3;1032;84;948;41;220;14844;15421
4;961;75;886;0;214;14854;15363
5;993;80;913;4;224;14832;15373
6;968;56;912;0;212;14895;15380
7;795;63;732;17;218;14811;15334
8;766;51;715;10;215;14820;15316
Total;8072;621;7451;126;1958;133604;138334
