AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;218;43;175;12246;239;17548;30362
1;179;39;140;6511;377;22985;30337
2;210;43;167;11287;302;18032;30015
3;269;30;239;3978;288;26104;30706
4;397;66;331;8734;271;21017;30401
5;261;27;234;3653;481;26085;30750
Total;1534;248;1286;46409;1958;131771;182571
