AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;907;62;845;0;326;22040;22762
1;1022;76;946;0;320;21997;22715
2;876;78;798;0;330;21950;22691
3;862;78;784;0;334;21964;22715
4;976;91;885;0;324;21942;22687
5;943;68;875;14;324;21940;22673
Total;5586;453;5133;14;1958;131833;136243
