AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;257;91;166;17638;170;10896;29010
1;221;15;206;699;401;28278;29800
2;339;57;282;8163;328;20619;29531
3;314;45;269;9882;218;19256;29644
4;119;15;104;18673;149;9780;28790
5;494;69;425;11896;287;16498;29088
6;283;67;216;14648;139;13912;28950
7;138;47;91;22747;98;6013;29048
8;318;103;215;20226;168;8084;28806
Total;2483;509;1974;124572;1958;133336;262667
