AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;192;19;173;4591;527;43157;48854
1;135;12;123;4131;648;43342;48809
2;208;16;192;3224;783;43794;48629
Total;535;47;488;11946;1958;130293;146292
