AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;231;53;178;9293;117;9414;19025
1;208;32;176;6666;209;12226;19379
2;357;46;311;6754;197;11576;18800
3;278;42;236;6351;144;12631;19345
4;140;46;94;12589;73;5977;18786
5;269;58;211;8205;209;10323;19047
6;207;77;130;10238;122;8512;19107
7;244;70;174;7341;168;10981;18768
8;192;63;129;11809;105;6795;18922
9;206;7;199;5113;144;13823;19248
10;354;49;305;3565;198;15254;19288
11;305;43;262;2456;272;16298;19357
Total;2991;586;2405;90380;1958;133810;229072
