AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;217;3;214;0;648;43139;44450
1;219;5;214;0;659;43696;45038
2;224;7;217;0;651;43229;44562
Total;660;15;645;0;1958;130064;134050
