AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;679;42;637;0;655;43253;44608
1;545;33;512;0;656;43295;44642
2;886;66;820;0;647;43236;44599
Total;2110;141;1969;0;1958;129784;133849
