AGV;Conflicts;Conflict_Wait;Conflict_Path;Waiting_Gate;Articles;Moving_Steps;Time_Steps
0;254;8;246;5959;316;21627;28248
1;398;8;390;5554;337;22749;29010
2;170;8;162;6129;322;21182;27994
3;304;8;296;7063;297;20440;28126
4;282;5;277;4584;368;23983;29331
5;221;5;216;5459;318;21565;27691
Total;1629;42;1587;34748;1958;131546;170400
